"FMID","MarketName","street","city","County","State","zip","Credit","WIC","WICcash","SFMNP","SNAP","Organic","Bakedgoods","Cheese","Crafts","Flowers","Eggs","Seafood","Herbs","Vegetables","Honey","Jams","Maple","Meat","Nursery","Nuts","Plants","Poultry","Prepared","Soap","Trees","Wine","Coffee","Beans","Fruits","Grains","Juices","Mushrooms","PetFood","Tofu","WildHarvested","lon","lat"
1018261," Caledonia Farmers Market Association - Danville","","Danville","Caledonia","Vermont","5828","Y","Y","N","Y","N","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","N","Y","Y","Y","Y","N","Y","Y","Y","N","N","Y","Y","N","N",-72.140337,44.411036
1000709,"26th Annual Highlands Business Partnership's Farmers Market","71 Waterwitch Avenue","Highlands","Monmouth","New Jersey","7732","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","N","N","N","Y","Y","N","N","Y","N","N","N","N","Y","N","Y","N","N","N","Y",-73.994358,40.404837
1019956,"29 Palms Farmers' Market","73484 Twentynine Palms Hwy","Twentynine Palms","San Bernardino","California","92277","Y","N","N","N","N","Y","Y","N","Y","N","Y","N","N","Y","Y","N","Y","N","N","Y","N","N","Y","Y","N","N","N","N","Y","N","Y","Y","N","N","N",-116.058946,34.13576
1009959,"2nd Street Market - Five Rivers MetroPark","600 E. 2nd Street","Dayton","Montgomery","Ohio","45402","Y","N","Y","N","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","N","N","Y","Y","Y","Y","Y","Y","Y","N","Y",-84.18103,39.762593
1004950,"3 French Hens French Country Market","123 W. Illinois ave. ","Morris","Grundy","Illinois","60450","Y","N","N","N","N","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","N","N","N","Y","N","N",-88.425186,41.356383
1019938,"3rd Day Farmer's Market","3234 S. LaChance Rd","Lake City","Missaukee","Michigan","49651","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","Y","Y","N","Y","Y","N","N","N","Y","N","N","Y","N","N","Y",-85.296147,44.292952
1018965,"61st Street Farmers Market","6100 S. Blackstone Ave","Chicago","Cook","Illinois","60637","Y","N","N","N","Y",NA,"Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","N","N","Y","N","N","Y","Y","N","N","Y","N","Y","N","Y","Y","N","N","N",-87.5905914,41.784079
1009004,"A Growers' Market","229 Lake Ella Drive","Tallahassee ","Leon","Florida","32303","Y","Y","N","Y","Y","N","Y","Y","N","Y","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","Y","N","N","Y","N","N","N",-84.279874,30.461953
1019473,"Aberdeen Sunday Market","Broadway between Heron & State St","Aberdeen","Grays Harbor","Washington","98520","Y","Y","N","Y","Y",NA,"Y","N","Y","Y","Y","Y","N","Y","Y","Y","N","N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","N","Y","N","N",-123.816413,46.972973
1019695,"Abita Springs Art & Farmers Market ","22049 Main Street","Abita Springs ","St. Tammany","Louisiana","70420","Y","N","N","N","N",NA,"Y","Y","Y","Y","Y","N","N","Y","Y","Y","N","Y","N","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","Y","Y","N","N","Y",-90.038907,30.479064
